group,name,version,license,optional,installScript,review,lockPath
development,@electron/osx-sign/node_modules/universalify,2.0.1,MIT,false,false,permissive-or-public-domain,node_modules/@electron/osx-sign/node_modules/universalify
development,@electron/rebuild,4.0.3,MIT,false,false,permissive-or-public-domain,node_modules/@electron/rebuild
development,@electron/rebuild/node_modules/semver,7.7.4,ISC,false,false,permissive-or-public-domain,node_modules/@electron/rebuild/node_modules/semver
development,@electron/universal,2.0.3,MIT,false,false,permissive-or-public-domain,node_modules/@electron/universal
development,@electron/universal/node_modules/balanced-match,1.0.2,MIT,false,false,permissive-or-public-domain,node_modules/@electron/universal/node_modules/balanced-match
development,@electron/universal/node_modules/brace-expansion,2.0.2,MIT,false,false,permissive-or-public-domain,node_modules/@electron/universal/node_modules/brace-expansion
development,@electron/universal/node_modules/fs-extra,11.3.4,MIT,false,false,permissive-or-public-domain,node_modules/@electron/universal/node_modules/fs-extra
development,@electron/universal/node_modules/jsonfile,6.2.0,MIT,false,false,permissive-or-public-domain,node_modules/@electron/universal/node_modules/jsonfile
development,@electron/universal/node_modules/minimatch,9.0.9,ISC,false,false,permissive-or-public-domain,node_modules/@electron/universal/node_modules/minimatch
development,@electron/universal/node_modules/universalify,2.0.1,MIT,false,false,permissive-or-public-domain,node_modules/@electron/universal/node_modules/universalify
development,@electron/windows-sign,1.2.2,BSD-2-Clause,true,false,permissive-or-public-domain,node_modules/@electron/windows-sign
development,@electron/windows-sign/node_modules/fs-extra,11.3.4,MIT,true,false,permissive-or-public-domain,node_modules/@electron/windows-sign/node_modules/fs-extra
development,@electron/windows-sign/node_modules/jsonfile,6.2.0,MIT,true,false,permissive-or-public-domain,node_modules/@electron/windows-sign/node_modules/jsonfile
development,@electron/windows-sign/node_modules/universalify,2.0.1,MIT,true,false,permissive-or-public-domain,node_modules/@electron/windows-sign/node_modules/universalify
development,@esbuild/aix-ppc64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/aix-ppc64
development,@esbuild/android-arm,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/android-arm
development,@esbuild/android-arm64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/android-arm64
development,@esbuild/android-x64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/android-x64
development,@esbuild/darwin-arm64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/darwin-arm64
development,@esbuild/darwin-x64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/darwin-x64
development,@esbuild/freebsd-arm64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/freebsd-arm64
development,@esbuild/freebsd-x64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/freebsd-x64
development,@esbuild/linux-arm,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/linux-arm
development,@esbuild/linux-arm64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/linux-arm64
development,@esbuild/linux-ia32,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/linux-ia32
development,@esbuild/linux-loong64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/linux-loong64
development,@esbuild/linux-mips64el,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/linux-mips64el
development,@esbuild/linux-ppc64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/linux-ppc64
development,@esbuild/linux-riscv64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/linux-riscv64
development,@esbuild/linux-s390x,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/linux-s390x
development,@esbuild/linux-x64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/linux-x64
development,@esbuild/netbsd-arm64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/netbsd-arm64
development,@esbuild/netbsd-x64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/netbsd-x64
development,@esbuild/openbsd-arm64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/openbsd-arm64
development,@esbuild/openbsd-x64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/openbsd-x64
development,@esbuild/openharmony-arm64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/openharmony-arm64
development,@esbuild/sunos-x64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/sunos-x64
development,@esbuild/win32-arm64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/win32-arm64
development,@esbuild/win32-ia32,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/win32-ia32
development,@esbuild/win32-x64,0.25.12,MIT,true,false,permissive-or-public-domain,node_modules/@esbuild/win32-x64
development,@eslint-community/eslint-utils,4.9.1,MIT,false,false,permissive-or-public-domain,node_modules/@eslint-community/eslint-utils
development,@eslint-community/eslint-utils/node_modules/eslint-visitor-keys,3.4.3,Apache-2.0,false,false,permissive-or-public-domain,node_modules/@eslint-community/eslint-utils/node_modules/eslint-visitor-keys
